event_id,user_id,session_id,timestamp,event_type,voice_volume_db,asset_used,x_coord,y_coord
4c4c089a-bd8d-44d9-932b-59e46e47d5c0,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:07:19.724980,explore,42.3,cube,12.0,57.58
29d73dd2-76ae-4a98-bf0d-6f9e6b812816,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:07:48.724980,explore,40.7,cube,7.99,87.98
c979cb73-4d1b-4942-b85f-0d111a84151c,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:08:06.724980,wave,36.1,cube,72.0,89.79
d50c0aaf-975c-4755-b7f6-afd844981fa9,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:08:32.724980,explore,37.1,paintbrush,74.5,34.1
339df18b-5f98-496a-b86d-34134a349cc0,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:08:53.724980,explore,34.2,cube,28.57,44.83
87a785c0-26d2-47d2-bc16-6ec3527b14df,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:09:20.724980,explore,44.2,cube,61.82,16.35
e4dfcdfb-7087-43f4-b20a-f97d442a0348,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:09:34.724980,explore,43.1,flower,50.59,71.47
b86c6522-71c7-4848-be3e-a2bae3c88143,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:10:04.724980,spawn_object,49.4,flower,0.28,22.34
1b152561-0839-48ef-bc5c-3f931fef1e02,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:10:16.724980,explore,38.5,flower,75.58,7.13
bee63da6-1110-4999-aa1b-85a5c3ea1a2c,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:10:30.724980,explore,35.0,flower,62.38,19.8
0c3ebbfa-00da-4da6-82ef-0bdb417b9f38,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:11:00.724980,spawn_object,38.2,paintbrush,83.11,41.78
0a6b612f-c88e-4311-8695-0ea0d2cc5760,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:11:15.724980,explore,40.1,flower,98.29,60.27
c6bd9166-7064-4806-aede-3e2d7bd364ab,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:11:27.724980,spawn_object,39.6,flower,54.09,9.69
71b41fe5-0779-46a5-b824-304a56cb612a,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:11:51.724980,wave,44.4,flower,72.04,19.38
9712caad-9371-4ec3-928d-451fc0e6db09,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:12:06.724980,explore,40.6,flower,12.94,54.71
4fae17f7-616e-4553-9db3-3b2ea22f2237,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:12:12.724980,wave,40.6,flower,37.79,52.05
e77905e1-8913-4c92-ac1a-6dc45d05e86a,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:12:38.724980,spawn_object,42.2,flower,19.29,65.39
ddc23c14-c86b-4cdb-b537-7cd3de83bc55,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:12:49.724980,wave,44.1,flower,85.16,40.51
92cd3e6d-4df3-4592-a364-ab4d1af30934,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:13:14.724980,wave,37.2,flower,69.5,30.01
b84e14a1-bd9b-464c-a087-46a73ffdd5da,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:13:24.724980,wave,46.5,flower,52.91,39.19
c0083356-27aa-4081-9d3a-466b1c7c3203,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:13:39.724980,wave,41.1,flower,21.5,24.25
dcaebb99-5e20-4805-a288-6a82c3eb069b,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:14:09.724980,explore,37.9,cube,27.28,14.68
2c11e9b8-0310-4dcc-8b49-1ce051bf7e4c,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:14:28.724980,wave,35.1,cube,11.57,77.3
b611b8e1-7341-40d7-acaa-3f0ef7676933,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:14:45.724980,explore,41.6,flower,9.57,38.11
4a0fcef0-cccd-44eb-9857-15d80339ad19,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:14:57.724980,spawn_object,45.1,flower,75.48,45.25
38977cdf-40f9-4c50-849c-e65e1046ec0f,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:15:20.724980,explore,35.9,flower,71.36,71.03
7e86e943-fbea-480a-9e06-e8e3923e7af5,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:15:50.724980,wave,46.3,cube,7.8,13.99
e6cbad81-42f9-46b9-aa90-cb1e9b63451d,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:16:06.724980,explore,43.3,cube,96.94,56.59
1e6394a9-890c-4750-8fc2-2be8939dd45b,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:16:31.724980,wave,43.8,paintbrush,2.61,25.21
f7f12aad-f477-4441-943f-9f65151cae23,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:16:56.724980,wave,39.9,paintbrush,78.65,24.46
0918a96f-ec2f-4e35-9223-47031255f57e,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:17:10.724980,explore,35.0,flower,64.32,0.46
94e18453-164a-423f-8779-4704a21dae57,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:17:37.724980,explore,35.1,cube,52.01,42.48
0df1ff0a-b965-4992-9299-1db2008a7be9,40fdc89d-44b4-4367-98ed-970b8b0174fd,6c5450d4-d22e-4139-a6e8-4ee06957607a,2026-01-07 18:17:57.724980,explore,40.4,cube,37.24,60.66
1b2894d8-d6a8-493b-9471-bd2d688fa0ed,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:45:28.724980,explore,51.7,paintbrush,32.68,6.83
b91d45fb-95b2-4cd5-978f-77d410498028,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:45:48.724980,explore,45.3,flower,78.98,3.73
f1b32313-a995-4acd-84d1-835579f978aa,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:46:09.724980,explore,31.7,cube,57.27,86.66
a7731e7f-d20c-4246-b714-caffa9193eec,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:46:21.724980,explore,45.6,paintbrush,2.05,89.76
72363dd2-5c8b-4a21-a3dd-a1aafe096999,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:46:49.724980,explore,35.0,paintbrush,82.34,75.17
7994cbda-9a1d-4d22-b83d-bc4fbf85ecee,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:47:11.724980,explore,35.6,flower,97.07,85.0
edf3f3d6-57db-4b5b-b396-815c35a1e382,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:47:30.724980,wave,45.5,flower,15.86,57.63
0fff72cd-d4f3-4a7e-b49f-910e65e2949f,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:47:52.724980,wave,51.5,cube,74.26,64.6
8c24e64c-a0b0-4b7c-9411-920ac92d007f,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:48:17.724980,explore,32.6,flower,22.38,27.47
540bf893-5dc3-4604-9ba5-75e6cddd8610,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:48:28.724980,explore,37.4,flower,50.91,32.74
cb015c9e-9f48-48ed-9549-a73b39db55bc,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:48:55.724980,explore,47.7,paintbrush,55.68,43.95
7ed8fd7c-d333-4c31-a153-b61e55bd0e80,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:49:06.724980,explore,36.0,cube,26.25,89.56
d715efb3-5589-4071-92e8-9bd38232011b,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:49:27.724980,explore,48.2,paintbrush,57.19,66.97
dc3b1d6f-aa2f-4c16-ab5b-0dbcf2798e42,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:49:52.724980,spawn_object,39.3,cube,68.08,48.67
be02eb00-bc12-43b5-aa76-cd26cc50df7d,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:50:17.724980,explore,34.5,paintbrush,60.68,88.38
012a60bc-1a86-470c-be18-feb11853d4b4,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:50:25.724980,wave,37.2,flower,0.15,98.03
ba089e34-e386-4926-adb5-1977516db838,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:50:36.724980,explore,43.5,cube,51.46,7.26
a420fa2f-24fe-4bac-84f3-3670a071172c,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:50:50.724980,explore,33.5,cube,9.35,60.85
d6638d1a-5a7f-408f-ae3c-95051ff82bd3,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:51:02.724980,explore,30.0,paintbrush,38.01,5.11
9ce29446-d03b-42aa-a0f5-19949c61d582,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:51:10.724980,explore,46.2,flower,0.48,55.62
8e19473e-4c77-4885-93bc-660df6781be4,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:51:23.724980,explore,30.0,flower,94.38,28.51
553a758a-32bb-4fa2-8342-1554d8f4d3a3,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:51:40.724980,explore,41.4,flower,47.06,0.6
b6007bf2-d62f-4b2a-8a2d-e9a52df9611e,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:52:01.724980,explore,32.1,paintbrush,4.01,71.78
b379fa84-bbe8-4018-b2b2-822e98317cbc,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:52:18.724980,explore,47.1,flower,16.9,13.83
839306ec-cda1-407c-8fe0-042d01cdda87,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:52:25.724980,wave,41.5,paintbrush,8.73,65.33
6f2c27d8-0c69-4931-86f4-98f1f28a5533,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:52:49.724980,spawn_object,42.0,cube,51.22,13.57
a9922234-8130-4a1f-a708-1fb9f79dc365,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:53:07.724980,spawn_object,35.7,paintbrush,88.53,70.47
a1c3c03f-cf29-4211-ac70-198558e416f3,bfed7e10-8543-4805-8af2-9fffe61fc39b,ad2bb579-c2f3-4229-bb00-6622fce03d8f,2026-01-07 17:53:14.724980,explore,48.7,flower,95.26,80.5
611a221e-bcc8-43db-84e6-3bd4d638d415,ce591750-da43-494a-9306-5232a377aa9a,546368e6-e840-40e5-966e-76c9a5f21eea,2026-01-07 20:12:09.724980,wave,46.6,paintbrush,98.31,62.15
c6037623-6875-45fe-be71-5fe22c92f894,ce591750-da43-494a-9306-5232a377aa9a,546368e6-e840-40e5-966e-76c9a5f21eea,2026-01-07 20:12:19.724980,wave,44.1,flower,17.08,67.29
180bbe1f-44fc-4a08-b3ea-ec6211d99953,ce591750-da43-494a-9306-5232a377aa9a,546368e6-e840-40e5-966e-76c9a5f21eea,2026-01-07 20:12:49.724980,explore,31.3,paintbrush,68.41,72.58
c9a2995f-95d6-4f45-aefe-a3e4db768c1e,ce591750-da43-494a-9306-5232a377aa9a,546368e6-e840-40e5-966e-76c9a5f21eea,2026-01-07 20:13:19.724980,explore,47.3,paintbrush,87.22,27.59
9ff15403-63e8-4d2a-99bb-744a32a76cd0,ce591750-da43-494a-9306-5232a377aa9a,546368e6-e840-40e5-966e-76c9a5f21eea,2026-01-07 20:13:34.724980,explore,35.2,flower,72.29,82.8
